question,statement,axis,stance,match_count_left-left,match_count_left-right,match_rate_left-left,match_rate_left-right,match_rate_diff
9,Controlling inflation is more important than controlling unemployment.,eco,right,60,51,1.0,0.9272727272727272,7.27%
8,People are ultimately divided more by class than by nationality.,eco,left,60,52,1.0,0.9454545454545454,5.45%
39,"No broadcasting institution, however independent its content, should receive public funding.",eco,right,51,44,0.85,0.8,5.00%
43,The death penalty should be an option for the most serious crimes.,soc,right,57,50,0.95,0.9090909090909091,4.09%
62,These days openness about sex has gone too far.,soc,right,56,50,0.9333333333333333,0.9090909090909091,2.42%
25,Taxpayers should not be expected to prop up any theatres or museums that cannot survive on a commercial basis.,eco,right,56,50,0.9333333333333333,0.9090909090909091,2.42%
14,Land shouldn’t be a commodity to be bought and sold.,eco,left,60,54,1.0,0.9818181818181818,1.82%
20,Governments should penalise businesses that mislead the public.,eco,left,60,55,1.0,1.0,0.00%
16,Protectionism is sometimes necessary in trade.,eco,left,60,55,1.0,1.0,0.00%
33,The most important thing for children to learn is to accept discipline.,soc,right,60,55,1.0,1.0,0.00%
15,It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.,eco,left,60,55,1.0,1.0,0.00%
38,"What’s good for the most successful corporations is always, ultimately, good for all of us.",eco,right,60,55,1.0,1.0,0.00%
1,"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.",eco,left,60,55,1.0,1.0,0.00%
28,Good parents sometimes have to spank their children.,soc,right,60,55,1.0,1.0,0.00%
18,The rich are too highly taxed.,eco,right,60,55,1.0,1.0,0.00%
13,"It’s a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product.",eco,left,60,55,1.0,1.0,0.00%
54,Charity is better than social security as a means of helping the genuinely disadvantaged.,eco,right,60,55,1.0,1.0,0.00%
11,"“from each according to his ability, to each according to his need Eis a fundamentally good idea.",eco,left,60,55,1.0,1.0,0.00%
12,"The freer the market, the freer the people.",eco,right,60,55,1.0,1.0,0.00%
17,The only social responsibility of a company should be to deliver a profit to its shareholders.,eco,right,59,55,0.9833333333333333,1.0,-1.67%
10,"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.",eco,left,55,54,0.9166666666666666,0.9818181818181818,-6.52%
21,A genuine free market requires restrictions on the ability of predator multinationals to create monopolies.,soc,right,5,55,0.08333333333333333,1.0,-91.67%
