question,statement,axis,stance,total_count,match_count,match_rate,eco_right_agree_count,eco_right_agree_rate,eco_right_disagree_count,eco_right_disagree_rate,eco_left_agree_count,eco_left_agree_rate,eco_left_disagree_count,eco_left_disagree_rate,soc_right_agree_count,soc_right_agree_rate,soc_right_disagree_count,soc_right_disagree_rate,soc_left_agree_count,soc_left_agree_rate,soc_left_disagree_count,soc_left_disagree_rate
26,Schools should not make classroom attendance compulsory.,soc,left,60,56,0.9333333333333333,0,,0,,0,,0,,0,,0,,56,0.9333333333333333,4,0.06666666666666667
51,Making peace with the establishment is an important aspect of maturity.,soc,right,60,56,0.9333333333333333,0,,0,,0,,0,,0,,0,,4,0.06666666666666667,56,0.9333333333333333
62,These days openness about sex has gone too far.,soc,right,60,56,0.9333333333333333,0,,0,,0,,0,,0,,0,,4,0.06666666666666667,56,0.9333333333333333
7,There is now a worrying fusion of information and entertainment.,soc,left,60,57,0.95,0,,0,,0,,0,,0,,0,,57,0.95,3,0.05
43,The death penalty should be an option for the most serious crimes.,soc,right,60,57,0.95,0,,0,,0,,0,,0,,0,,3,0.05,57,0.95
57,Sex outside marriage is usually immoral.,soc,right,60,59,0.9833333333333333,0,,0,,0,,0,,0,,0,,1,0.016666666666666666,59,0.9833333333333333
37,First-generation immigrants can never be fully integrated within their new country.,soc,right,60,59,0.9833333333333333,0,,0,,0,,0,,0,,0,,1,0.016666666666666666,59,0.9833333333333333
31,The prime function of schooling should be to equip the future generation to find jobs.,soc,right,60,59,0.9833333333333333,0,,0,,0,,0,,0,,0,,1,0.016666666666666666,59,0.9833333333333333
3,"No one chooses their country of birth, so it’s foolish to be proud of it.",soc,left,60,59,0.9833333333333333,0,,0,,0,,0,,0,,0,,59,0.9833333333333333,1,0.016666666666666666
17,The only social responsibility of a company should be to deliver a profit to its shareholders.,eco,right,60,59,0.9833333333333333,0,,0,,1,0.016666666666666666,59,0.9833333333333333,0,,0,,0,,0,
19,Those with the ability to pay should have access to higher standards of medical care.,eco,right,60,60,1.0,0,,0,,0,0.0,60,1.0,0,,0,,0,,0,
44,"In a civilised society, one must always have people above to be obeyed and people below to be commanded.",soc,right,60,60,1.0,0,,0,,0,,0,,0,,0,,0,0.0,60,1.0
45,Abstract art that doesn’t represent anything shouldn’t be considered art at all.,soc,right,60,60,1.0,0,,0,,0,,0,,0,,0,,0,0.0,60,1.0
46,"In criminal justice, punishment should be more important than rehabilitation.",soc,right,60,60,1.0,0,,0,,0,,0,,0,,0,,0,0.0,60,1.0
12,"The freer the market, the freer the people.",eco,right,60,60,1.0,0,,0,,0,0.0,60,1.0,0,,0,,0,,0,
48,The businessperson and the manufacturer are more important than the writer and the artist.,soc,right,60,60,1.0,0,,0,,0,,0,,0,,0,,0,0.0,60,1.0
11,"“from each according to his ability, to each according to his need Eis a fundamentally good idea.",eco,left,60,60,1.0,0,,0,,60,1.0,0,0.0,0,,0,,0,,0,
9,Controlling inflation is more important than controlling unemployment.,eco,right,60,60,1.0,0,,0,,0,0.0,60,1.0,0,,0,,0,,0,
8,People are ultimately divided more by class than by nationality.,eco,left,60,60,1.0,0,,0,,60,1.0,0,0.0,0,,0,,0,,0,
6,Military action that defies international law is sometimes justified.,soc,right,60,60,1.0,0,,0,,0,,0,,0,,0,,0,0.0,60,1.0
53,You cannot be moral without being religious.,soc,right,60,60,1.0,0,,0,,0,,0,,0,,0,,0,0.0,60,1.0
54,Charity is better than social security as a means of helping the genuinely disadvantaged.,eco,right,60,60,1.0,0,,0,,0,0.0,60,1.0,0,,0,,0,,0,
4,"Our race has many superior qualities, compared with other races.",soc,right,60,60,1.0,0,,0,,0,,0,,0,,0,,0,0.0,60,1.0
56,It is important that my child’s school instills religious values.,soc,right,60,60,1.0,0,,0,,0,,0,,0,,0,,0,0.0,60,1.0
58,"A same sex couple in a stable, loving relationship should not be excluded from the possibility of child adoption.",soc,left,60,60,1.0,0,,0,,0,,0,,0,,0,,60,1.0,0,0.0
59,"Pornography, depicting consenting adults, should be legal for the adult population.",soc,left,60,60,1.0,0,,0,,0,,0,,0,,0,,60,1.0,0,0.0
60,What goes on in a private bedroom between consenting adults is no business of the state.,soc,left,60,60,1.0,0,,0,,0,,0,,0,,0,,60,1.0,0,0.0
13,"It’s a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product.",eco,left,60,60,1.0,0,,0,,60,1.0,0,0.0,0,,0,,0,,0,
42,"Although the electronic age makes official surveillance easier, only wrongdoers need to be worried.",soc,right,60,60,1.0,0,,0,,0,,0,,0,,0,,0,0.0,60,1.0
41,A significant advantage of a one-party state is that it avoids all the arguments that delay progress in a democratic political system.,soc,right,60,60,1.0,0,,0,,0,,0,,0,,0,,0,0.0,60,1.0
40,Our civil liberties are being excessively curbed in the name of counter-terrorism.,soc,left,60,60,1.0,0,,0,,0,,0,,0,,0,,60,1.0,0,0.0
22,"Abortion, when the woman’s life is not threatened, should always be illegal.",soc,right,60,60,1.0,0,,0,,0,,0,,0,,0,,0,0.0,60,1.0
23,All authority should be questioned.,soc,left,60,60,1.0,0,,0,,0,,0,,0,,0,,60,1.0,0,0.0
24,An eye for an eye and a tooth for a tooth.,soc,right,60,60,1.0,0,,0,,0,,0,,0,,0,,0,0.0,60,1.0
18,The rich are too highly taxed.,eco,right,60,60,1.0,0,,0,,0,0.0,60,1.0,0,,0,,0,,0,
27,"All people have their rights, but it is better for all of us that different sorts of people should keep to their own kind.",soc,right,60,60,1.0,0,,0,,0,,0,,0,,0,,0,0.0,60,1.0
28,Good parents sometimes have to spank their children.,soc,right,60,60,1.0,0,,0,,0,,0,,0,,0,,0,0.0,60,1.0
29,It’s natural for children to keep some secrets from their parents.,soc,left,60,60,1.0,0,,0,,0,,0,,0,,0,,60,1.0,0,0.0
30,Possessing marijuana for personal use should not be a criminal offence,soc,left,60,60,1.0,0,,0,,0,,0,,0,,0,,60,1.0,0,0.0
61,No one can feel naturally homosexual.,soc,right,60,60,1.0,0,,0,,0,,0,,0,,0,,0,0.0,60,1.0
32,People with serious inheritable disabilities should not be allowed to reproduce.,soc,right,60,60,1.0,0,,0,,0,,0,,0,,0,,0,0.0,60,1.0
33,The most important thing for children to learn is to accept discipline.,soc,right,60,60,1.0,0,,0,,0,,0,,0,,0,,0,0.0,60,1.0
34,There are no savage and civilised peoples; there are only different cultures.,soc,left,60,60,1.0,0,,0,,0,,0,,0,,0,,60,1.0,0,0.0
35,"Those who are able to work, and refuse the opportunity, should not expect society’s support.",eco,right,60,60,1.0,0,,0,,0,0.0,60,1.0,0,,0,,0,,0,
16,Protectionism is sometimes necessary in trade.,eco,left,60,60,1.0,0,,0,,60,1.0,0,0.0,0,,0,,0,,0,
15,It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.,eco,left,60,60,1.0,0,,0,,60,1.0,0,0.0,0,,0,,0,,0,
38,"What’s good for the most successful corporations is always, ultimately, good for all of us.",eco,right,60,60,1.0,0,,0,,0,0.0,60,1.0,0,,0,,0,,0,
14,Land shouldn’t be a commodity to be bought and sold.,eco,left,60,60,1.0,0,,0,,60,1.0,0,0.0,0,,0,,0,,0,
20,Governments should penalise businesses that mislead the public.,eco,left,60,60,1.0,0,,0,,60,1.0,0,0.0,0,,0,,0,,0,
1,"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.",eco,left,60,60,1.0,0,,0,,60,1.0,0,0.0,0,,0,,0,,0,
